datetime,open,high,low,close,volume
2026-02-17 16:15:00+00:00,1.1818,1.18231,1.18161,1.18207,1581
2026-02-17 16:30:00+00:00,1.18207,1.18276,1.18186,1.18262,2405
2026-02-17 16:45:00+00:00,1.18262,1.18281,1.18209,1.18237,2118
2026-02-17 17:00:00+00:00,1.18237,1.18239,1.1812,1.18139,2435
2026-02-17 17:15:00+00:00,1.18139,1.18175,1.1807699999999999,1.18078,1717
2026-02-17 17:30:00+00:00,1.18078,1.1811099999999999,1.18046,1.18093,1902
2026-02-17 17:45:00+00:00,1.18093,1.18126,1.1804000000000001,1.18106,1981
2026-02-17 18:00:00+00:00,1.18106,1.18225,1.18105,1.1822,2094
2026-02-17 18:15:00+00:00,1.1822,1.18305,1.18205,1.18278,1545
2026-02-17 18:30:00+00:00,1.18278,1.18352,1.18268,1.18316,1849
2026-02-17 18:45:00+00:00,1.1831800000000001,1.18342,1.18287,1.18305,1281
2026-02-17 19:00:00+00:00,1.18305,1.18376,1.18292,1.1837,1662
2026-02-17 19:15:00+00:00,1.1837,1.18397,1.18353,1.18396,1375
2026-02-17 19:30:00+00:00,1.18396,1.18421,1.18329,1.18349,1246
2026-02-17 19:45:00+00:00,1.18349,1.18413,1.1834,1.18393,1155
2026-02-17 20:00:00+00:00,1.18393,1.18429,1.18384,1.1841599999999999,1106
2026-02-17 20:15:00+00:00,1.1841599999999999,1.18482,1.18402,1.18481,1125
2026-02-17 20:30:00+00:00,1.18481,1.18517,1.18418,1.1851099999999999,1313
2026-02-17 20:45:00+00:00,1.1851099999999999,1.18531,1.18469,1.18481,996
2026-02-17 21:00:00+00:00,1.18481,1.18505,1.18446,1.18465,905
2026-02-17 21:15:00+00:00,1.18465,1.18465,1.18433,1.18437,565
2026-02-17 21:30:00+00:00,1.18437,1.18466,1.18431,1.18463,594
2026-02-17 21:45:00+00:00,1.18465,1.18486,1.18456,1.18479,765
2026-02-17 22:00:00+00:00,1.18479,1.18505,1.18458,1.18483,634
2026-02-17 22:15:00+00:00,1.18483,1.18488,1.18453,1.18479,431
2026-02-17 22:30:00+00:00,1.18479,1.18505,1.18478,1.18483,526
2026-02-17 22:45:00+00:00,1.18483,1.18526,1.18468,1.1851,798
2026-02-17 23:00:00+00:00,1.1851,1.18525,1.185,1.18522,224
2026-02-17 23:15:00+00:00,1.18522,1.18529,1.18481,1.18515,181
2026-02-17 23:30:00+00:00,1.18513,1.18544,1.1851,1.18536,156
2026-02-17 23:45:00+00:00,1.18536,1.1855,1.18514,1.1855,270
2026-02-18 00:00:00+00:00,1.1855,1.1855,1.18502,1.18516,83
2026-02-18 00:15:00+00:00,1.18516,1.18521,1.18506,1.18509,110
2026-02-18 00:30:00+00:00,1.18508,1.1852,1.18487,1.18516,116
2026-02-18 00:45:00+00:00,1.18516,1.18521,1.18505,1.18514,286
2026-02-18 01:00:00+00:00,1.18514,1.18574,1.18513,1.18549,480
2026-02-18 01:15:00+00:00,1.18549,1.18553,1.18514,1.18529,274
2026-02-18 01:30:00+00:00,1.18529,1.18529,1.18503,1.18514,239
2026-02-18 01:45:00+00:00,1.18515,1.18536,1.1850100000000001,1.18505,410
